Name,Overall
Cristiano Ronaldo,94
L. Messi,93
Neymar,92
L. Suárez,92
M. Neuer,92
R. Lewandowski,91
De Gea,90
E. Hazard,90
T. Kroos,90
G. Higuaín,90
Sergio Ramos,90
K. De Bruyne,89
T. Courtois,89
A. Sánchez,89
L. Modrić,89
G. Bale,89
S. Agüero,89
G. Chiellini,89
G. Buffon,89
P. Dybala,88
J. Oblak,88
A. Griezmann,88
Thiago,88
P. Aubameyang,88
L. Bonucci,88
J. Boateng,88
D. Godín,88
M. Hummels,88
M. Özil,88
H. Lloris,88
Thiago Silva,88
Z. Ibrahimović,88
A. Robben,88
N. Kanté,87
M. Verratti,87
P. Pogba,87
C. Eriksen,87
A. Vidal,87
E. Cavani,87
Marcelo,87
M. Hamšík,87
I. Rakitić,87
David Silva,87
S. Handanovič,87
Piqué,87
Iniesta,87
H. Kane,86
J. Rodríguez,86
Isco,86
D. Alaba,86
R. Lukaku,86
Alex Sandro,86
T. Müller,86
Sergio Busquets,86
Coutinho,86
M. Reus,86
T. Alderweireld,86
David Luiz,86
Diego Costa,86
R. Nainggolan,86
Javi Martínez,86
D. Mertens,86
Sokratis,86
Miranda,86
K. Benzema,86
Cesc Fàbregas,86
F. Ribéry,86
Pepe,86
P. Čech,86
Y. Carrasco,85
R. Varane,85
Casemiro,85
L. Insigne,85
A. Lacazette,85
K. Navas,85
H. Mkhitaryan,85
D. Subašić,85
B. Leno,85
M. ter Stegen,85
K. Glik,85
Jordi Alba,85
I. Gündoğan,85
Azpilicueta,85
A. Di María,85
M. Pjanić,85
C. Marchisio,85
J. Vertonghen,85
B. Matuidi,85
S. Ruffier,85
Filipe Luís,85
V. Kompany,85
A. Barzagli,85
E. Bailly,84
Marco Asensio,84
Bernardo Silva,84
A. Laporte,84
D. Alli,84
S. Mané,84
Carvajal,84
J. Draxler,84
M. Icardi,84
Morata,84
K. Koulibaly,84
T. Horn,84
Koke,84
K. Manolas,84
S. Mustafi,84
Ander Herrera,84
K. Strootman,84
Pedro,84
R. Bürki,84
Bruno,84
I. Perišić,84
E. Džeko,84
Willian,84
S. Khedira,84
R. Fährmann,84
