Team Initials,Coach Name,Player Name
USA,MILLAR Bob (USA),Tom FLORIE
BRA,DE CARVALHO Pindaro (BRA),PREGUINHO
PER,BRU Francisco (ESP),Placido GALINDO
PAR,DURAND LAGUNA Jose (ARG),Luis VARGAS PENA
CHI,ORTH Gyorgy (HUN),Guillermo SUBIABRE
AUT,MEISL Hugo (AUT),Johann HORVATH
HUN,DIETZ Karoly (HUN),Gyorgy SAROSI
ROU,BRAUN Coloman (ROU),Stefan DOBAY
CUB,TAPIA Jose (CUB),Tomas FERNANDEZ
SWE,NAGY Joszef (HUN),Tore KELLER
BRA,PIMENTA Ademar (BRA),LEONIDAS
ITA,POZZO Vittorio (ITA),Giuseppe MEAZZA
ITA,NOVO Ferruccio (ITA),Riccardo CARAPELLESE
YUG,ARSENIJEVIC Milorad (YUG),Rajko MITIC
PAR,FLEITAS SOLICH Manuel (PAR),Cesar LOPEZ FRETES
MEX,VIAL Octavio (MEX),Horacio CASARIN
URU,LOPEZ Juan (URU),Obdulio VARELA
ESP,EIZAGUIRRE Guillermo (ESP),ZARRA
HUN,SEBES Gusztav (HUN),Ferenc PUSKAS
ITA,CZEIZLER Lajos (HUN),Giampiero BONIPERTI
ITA,CZEIZLER Lajos (HUN),Egisto PANDOLFINI
TUR,PUPPO Sandro (ITA),Lefter KUCUKANDONYADIS
FRG,HERBERGER Sepp (FRG),Fritz WALTER
AUT,NAUSCH Walter (AUT),Ernst OCWIRK
HUN,SEBES Gusztav (HUN),Jozsef BOZSIK
SWE,RAYNOR George (ENG),Nils LIEDHOLM
URS,KACHALIN Gavril (URS),Nikita SIMONYAN
PAR,GONZALEZ Aurelio (PAR),Juan AGUERO
FRG,HERBERGER Sepp (FRG),Hans SCHAEFER
COL,PEDERNERA Adolfo (ARG),Francisco ZULUAGA
ARG,LORENZO Juan Carlos (ARG),Ruben NAVARRO
YUG,LOVRIC Ljubomir (YUG),Milan GALIC
CHI,RIERA Fernando (CHI),Jorge TORO
PRK,MYUNG Rye Hyun (PRK),PAK Seung Zin
FRG,SCHOEN Helmut (FRG),Uwe SEELER
ARG,LORENZO Juan Carlos (ARG),Antonio RATTIN
URU,VIERA Ondino (URU),Horacio TROCHE
POR,GLORIA Otto (BRA),MARIO COLUNA
MEX,CARDENAS Raul (MEX),Gustavo PENA
URU,HOHBERG Juan (URU),Pedro ROCHA
PER,DIDI (BRA),Hector CHUMPITAZ
MAR,VIDINIC Blagoje (YUG),Driss BAMOUS
TCH,MARKO Jozef (TCH),Alexander HORVATH
ROU,NICULESCU Angelo (ROU),Mircea LUCESCU
ISR,SHEFFER Emmanuel (ISR),Mordechai SPIEGLER
BUL,BOZHKOV Stefan (BUL),Boris GAGANELOV
SLV,CARRASCO Hernan (CHI),Raul MAGANA
SLV,CARRASCO Hernan (CHI),Salvador MARIONA
ROU,NICULESCU Angelo (ROU),Stere ADAMACHE
BEL,GOETHALS Raymond (BEL),Paul VAN HIMST
BRA,ZAGALLO Mario (BRA),CARLOS ALBERTO
URU,HOHBERG Juan (URU),Luis UBINA
CHI,ALAMOS Luis (CHI),Francisco VALDES
ZAI,VIDINIC Blagoje (YUG),Kidumu MANTANTU
URU,PORTA Roberto (URU),Juan MASNIK
ARG,CAP Vladislao (ARG),Roberto PERFUMO
ZAI,VIDINIC Blagoje (YUG),Kazadi MUAMBA
YUG,MILJANIC Miljan (SRB),Dragan DZAJIC
ZAI,VIDINIC Blagoje (YUG),Tubilandu NDIMBI
BUL,MLADENOV Hristo (BUL),Hristo BONEV
POL,GORSKI Kazimierz (POL),Kazimierz DEYNA
BRA,ZAGALLO Mario (BRA),WILSON PIAZZA
GDR,BUSCHNER Georg (GER),Juergen CROY
NED,MICHELS Rinus (NED),Johan CRUYFF
HAI,TASSY Antoine (HAI),Wilner NAZAIRE
ARG,CAP Vladislao (ARG),Miguel BRINDISI
SWE,ERICSON Georg (SWE),Bo LARSSON
BRA,ZAGALLO Mario (BRA),MARINHO PERES
MEX,ROCA Jose (MEX),Arturo VAZQUEZ
TUN,CHETALI Abdelmajid (TUN),Temime LAKHZAMI
ARG,MENOTTI Cesar Luis (ARG),Daniel PASSARELLA
SCO,MacLEOD Alistair (SCO),Bruce RIOCH
MEX,ROCA Jose (MEX),Jose REYES
MEX,ROCA Jose (MEX),Pedro SOTO
FRA,HIDALGO Michel (FRA),Jean Paul BERTRAND DEMANES
ESP,KUBALA Ladislao (ESP),Juan Manuel ASENSI
PER,CALDERON Marcos (PER),Ramon QUIROGA
FRG,SCHOEN Helmut (FRG),Sepp MAIER
NED,HAPPEL Ernst (AUT),Piet SCHRIJVERS
NED,HAPPEL Ernst (AUT),Jan JONGBLOED
AUT,SENEKOWITSCH Helmut (AUT),Robert SARA
FRG,SCHOEN Helmut (FRG),Berti VOGTS
NED,HAPPEL Ernst (AUT),Ruud KROL
BRA,SANTANA Tele (BRA),SOCRATES
CMR,VINCENT Jean (FRA),Thomas NKONO
HUN,MESZOLY Kalman (HUN),Tibor NYILASI
NZL,ADSHEAD John (NZL),Steve SUMNER
FRG,DERWALL Jupp (GER),Karl-Heinz RUMMENIGGE
PER,TIM (BRA),Ruben DIAZ
TCH,VENGLOS Jozef (SVK),Stanislav SEMAN
FRA,HIDALGO Michel (FRA),Michel PLATINI
NIR,BINGHAM Billy (NIR),Martin O NEILL
BEL,THYS Guy (BEL),Jean Marie PFAFF
BEL,THYS Guy (BEL),Eric GERETS
URS,BESKOV Konstantin (RUS),Aleksandre CHIVADZE
SCO,STEIN Jock (SCO),Graeme SOUNESS
HON,DE LA PAZ Jose (HON),Ramon MARADIAGA
AUT,SCHMIDT Georg (AUT),Erich OBERMAYER
BRA,SANTANA Tele (BRA),WALDIR PERES
POL,PIECHNICZEK Antoni (POL),Wladyslaw ZMUDA
KOR,KIM Jung Nam (KOR),PARK Chang Sun
NIR,BINGHAM Billy (NIR),Sam McILROY
MEX,MILUTINOVIC Bora (YUG),Tomas BOY
ENG,ROBSON Bobby (ENG),Bryan ROBSON
URU,BORRAS Omar (URU),Jorge BARRIOS
ARG,BILARDO Carlos (ARG),Diego MARADONA
CAN,WAITERS Tony (ENG),Bruce WILSON
HUN,MEZEY Gyorgy (HUN),Antal NAGY
POR,JOSE TORRES (POR),GOMES
IRQ,EVARISTO (BRA),HAMMOUDI RAAD
URS,LOBANOVSKYI Valeriy (UKR),Oleg BLOKHIN
ITA,BEARZOT Enzo (ITA),Gaetano SCIREA
BEL,THYS Guy (BEL),Jan CEULEMANS
IRQ,EVARISTO (BRA),KHALIL MOHAMED
ALG,SAADANE Rabah (ALG),Nasser DRID
URU,BORRAS Omar (URU),Fernando ALVEZ
ARG,BILARDO Carlos (ARG),Nery PUMPIDO
BRA,SANTANA Tele (BRA),EDINHO
POL,PIECHNICZEK Antoni (POL),Zbigniew BONIEK
ESP,MUNOZ Miguel (ESP),Jose Antonio CAMACHO
