Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,Home Team Initials,Away Team Initials,Home Coach Name,Home Player 1,Home Player 2,Home Player 3,Home Player 4,Home Player 5,Home Player 6,Home Player 7,Home Player 8,Home Player 9,Home Player 10,Home Player 11,Away Coach Name,Away Player 1,Away Player 2,Away Player 3,Away Player 4,Away Player 5,Away Player 6,Away Player 7,Away Player 8,Away Player 9,Away Player 10,Away Player 11,Home Player 1 Stats,Home Player 2 Stats,Home Player 3 Stats,Home Player 4 Stats,Home Player 5 Stats,Home Player 6 Stats,Home Player 7 Stats,Home Player 8 Stats,Home Player 9 Stats,Home Player 10 Stats,Home Player 11 Stats,Away Player 1 Stats,Away Player 2 Stats,Away Player 3 Stats,Away Player 4 Stats,Away Player 5 Stats,Away Player 6 Stats,Away Player 7 Stats,Away Player 8 Stats,Away Player 9 Stats,Away Player 10 Stats,Away Player 11 Stats
2010.0,11 Jun 2010 - 16:00 ,Group A,South Africa,1.0,1.0,Mexico,84490.0,0.0,0.0,Ravshan IRMATOV (UZB),ILYASOV Rafael (UZB),KOCHKAROV Bakhadyr (KGZ),RSA,MEX,PARREIRA Carlos Alberto (BRA),Lucas RADEBE,RADEBE,KHUNE,JOSEPHS,RADEBE,RADEBE,JOSEPHS,JOSEPHS,Lucas RADEBE,Lucas RADEBE,PARREIRA Carlos Alberto (BRA),Javier AGUIRRE (MEX),Horacio CASARIN,Gustavo PENA,Arturo VAZQUEZ,Pedro SOTO,CAMPOS,Alberto GARCIA ASPE,O. PEREZ,R. MARQUEZ,G TORRADO,C BLANCO,R MARQUEZ,82,65,77,65,65,65,65,65,82,82,77,67,80,63,84,76,81,83,91,90,94,94
2010.0,11 Jun 2010 - 20:30 ,Group A,Uruguay,0.0,0.0,France,64100.0,0.0,0.0,NISHIMURA Yuichi (JPN),SAGARA Toru (JPN),JEONG Hae Sang (KOR),URU,FRA,TABAREZ Oscar (URU),Obdulio VARELA,Horacio TROCHE,Pedro ROCHA,Luis UBINA,Enzo FRANCESCOLI,F.CARINI,P.MONTERO,LUGANO,FORLAN,D. LUGANO,D. GODIN,DOMENECH Raymond (FRA),Jean Paul BERTRAND DEMANES,Michel PLATINI,Didier DESCHAMPS,ZIDANE,VIEIRA,EVRA,A. DIARRA,Didier DESCHAMPS,Didier DESCHAMPS,Didier DESCHAMPS,Jean Paul BERTRAND DEMANES,77,65,84,79,71,65,65,65,65,88,88,81,76,65,64,71,80,89,65,65,65,81
2010.0,12 Jun 2010 - 13:30 ,Group B,Korea Republic,2.0,0.0,Greece,31513.0,1.0,0.0,HESTER Michael (NZL),HINTZ Jan Hendrik (NZL),MAKASINI Tevita (TGA),KOR,GRE,HONG Myungbo (KOR),PARK Chang Sun,CHOI In Young,LEE Woonjae,KIM B. J.,YOO S. C.,M B HONG,JISUNG,J C KOO,LEE Woonjae,JISUNG,JISUNG,SANTOS Fernando (POR),Tassos MITROPOULOS,KARAGOUNIS,KATSOURANIS,KARNEZIS,GLYKOS,KARAGOUNIS,GLYKOS,SANTOS Fernando (POR),KARAGOUNIS,Tassos MITROPOULOS,Tassos MITROPOULOS,78,89,77,88,89,93,65,94,77,65,65,65,63,65,82,71,63,71,81,63,65,65
2010.0,12 Jun 2010 - 16:00 ,Group B,Argentina,1.0,0.0,Nigeria,55686.0,1.0,0.0,Wolfgang STARK (GER),SALVER Jan-Hendrik (GER),PICKEL Mike (GER),ARG,NGA,SABELLA Alejandro (ARG),Ruben NAVARRO,Antonio RATTIN,Roberto PERFUMO,Miguel BRINDISI,Daniel PASSARELLA,Diego MARADONA,Nery PUMPIDO,Diego SIMEONE,Carlos ROA,VERON,BATISTUTA,KESHI Stephen (NGA),Stephen KESHI,UCHE,ENYEAMA,KANU,YOBO,UCHE,KANU,KANU,KANU,KANU,KANU,78,80,83,78,80,86,65,86,76,67,65,74,76,80,74,65,76,74,74,74,74,74
2010.0,12 Jun 2010 - 20:30 ,Group C,England,1.0,1.0,USA,38646.0,1.0,1.0,SIMON Carlos (BRA),HAUSMANN Altemir (BRA),BRAATZ Roberto (BRA),ENG,USA,CAPELLO Fabio (ITA),Bryan ROBSON,Terry BUTCHER,Alan SHEARER,David SEAMAN,BECKHAM,ROBINSON,GERRARD,GERRARD,CAPELLO Fabio (ITA),CAPELLO Fabio (ITA),Terry BUTCHER,KLINSMANN Juergen (GER),Tom FLORIE,Tony MEOLA,Michael WINDISCHMANN,Thomas DOOLEY,STEWART,FRIEDEL,REYNA,BOCANEGRA,DEMPSEY,Tony MEOLA,Tony MEOLA,73,78,78,87,65,69,65,65,67,67,78,76,71,65,80,72,65,70,74,78,71,71
2010.0,13 Jun 2010 - 13:30 ,Group C,Algeria,0.0,1.0,Slovenia,30325.0,0.0,0.0,BATRES Carlos (GUA),LEAL Leonel (CRC),PASTRANA Carlos (HON),ALG,SVN,HALILHODZIC Vahid (BIH),Nasser DRID,YAHIA,BOUGUERRA,HALLICHE,Nasser DRID,Nasser DRID,BOUGUERRA,HALILHODZIC Vahid (BIH),HALLICHE,Nasser DRID,HALILHODZIC Vahid (BIH),KEK Matjaz (SVN),CEH A.,KOREN,CEH A.,CEH A.,CEH A.,CEH A.,CEH A.,CEH A.,CEH A.,CEH A.,CEH A.,72,72,65,71,72,72,65,65,71,72,65,89,65,89,89,89,89,89,89,89,89,89
2010.0,13 Jun 2010 - 16:00 ,Group D,Serbia,0.0,1.0,Ghana,38833.0,0.0,0.0,BALDASSI Hector (ARG),CASAS Ricardo (ARG),MAIDANA Hernan (ARG),SRB,GHA,coach,coach,coach,coach,coach,coach,coach,coach,coach,coach,coach,coach,APPIAH James (GHA),S. APPIAH,MENSAH,A. GYAN,MENSAH,MENSAH,MENSAH,MENSAH,MENSAH,A. GYAN,MENSAH,MENSAH,65,65,65,65,65,65,65,65,65,65,65,89,76,89,76,76,76,76,76,89,76,76
2010.0,13 Jun 2010 - 20:30 ,Group D,Germany,4.0,0.0,Australia,62660.0,2.0,0.0,RODRIGUEZ Marco (MEX),CAMARGO Jose Luis (MEX),MORIN Alberto (MEX),GER,AUS,LOEW Joachim (GER),MATTH�US,Juergen KLINSMANN,KAHN,SCHNEIDER,BALLACK,LAHM,MATTH�US,KAHN,LAHM,LOEW Joachim (GER),KAHN,POSTECOGLOU Ange (AUS),NEILL,JEDINAK,POSTECOGLOU Ange (AUS),NEILL,NEILL,JEDINAK,JEDINAK,NEILL,JEDINAK,POSTECOGLOU Ange (AUS),NEILL,65,61,65,83,65,65,65,65,65,65,65,68,65,75,68,68,65,65,68,65,75,68
2010.0,14 Jun 2010 - 13:30 ,Group E,Netherlands,2.0,0.0,Denmark,83465.0,0.0,0.0,St�phane LANNOY (FRA),DANSAULT Eric (FRA),UGO Laurent (FRA),NED,DEN,Louis VAN GAAL (NED),Johan CRUYFF,Piet SCHRIJVERS,Ruud KROL,Ruud GULLIT,Ronald KOEMAN,V. BRONCKHORST,STEKELENBURG,V. PERSIE,CILLESSEN,VORM,KRUL,OLSEN Morten (DEN),Peter SCHMEICHEL,LAUDRUP M.,HEINTZE,S�RENSEN,TOMASSON,Peter SCHMEICHEL,Peter SCHMEICHEL,Peter SCHMEICHEL,LAUDRUP M.,Peter SCHMEICHEL,S�RENSEN,74,75,71,71,94,85,75,85,81,79,77,83,92,65,65,65,83,83,83,92,83,65
2010.0,14 Jun 2010 - 16:00 ,Group E,Japan,1.0,0.0,Cameroon,30620.0,1.0,0.0,Oleg�rio BENQUEREN�A (POR),CARDINAL Jose (POR),MIRANDA Bertino (POR),JPN,CMR,OKADA Takeshi (JPN),Masami IHARA,MORIOKA,MIYAMOTO,KAWAGUCHI,HASEBE,OKADA Takeshi (JPN),KAWAGUCHI,MORIOKA,MIYAMOTO,OKADA Takeshi (JPN),OKADA Takeshi (JPN),Paul LE GUEN (FRA),Thomas NKONO,Stephen TATAW,SONGO'O,Francois OMAM-BIYIK,SONG,ETO'O,SONG,SONG,Paul LE GUEN (FRA),SONG,SONG,64,68,65,54,77,65,54,68,65,65,65,80,74,62,53,77,81,77,77,91,77,77
