Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count
Egypt,A,1,GK,Essam El-Hadary (captain),1973/01/15,45,157,0,Al-Taawoun,1
Egypt,A,2,DF,Ali Gabr,1989/01/01,29,20,1,West Bromwich Albion,1
Egypt,A,3,DF,Ahmed Elmohamady,1987/09/09,30,77,2,Aston Villa,1
Egypt,A,4,MF,Omar Gaber,1992/01/30,26,23,0,Los Angeles FC,1
Egypt,A,5,MF,Sam Morsy,1991/09/10,26,4,0,Wigan Athletic,1
Egypt,A,6,DF,Ahmed Hegazi,1991/01/25,27,44,1,West Bromwich Albion,1
Egypt,A,7,DF,Ahmed Fathy,1984/11/10,33,125,3,Al Ahly,1
Egypt,A,8,MF,Tarek Hamed,1988/10/24,29,20,0,Zamalek,1
Egypt,A,9,FW,Marwan Mohsen,1989/02/26,29,23,4,Al Ahly,1
Egypt,A,10,FW,Mohamed Salah,1992/06/15,25,57,33,Liverpool,1
Egypt,A,11,FW,Kahraba,1994/04/13,24,18,3,Al-Ittihad,1
Egypt,A,12,DF,Ayman Ashraf,1991/04/09,27,4,0,Al Ahly,1
Egypt,A,13,DF,Mohamed Abdel-Shafy,1985/07/01,32,50,1,Al-Fateh,1
Egypt,A,14,FW,Ramadan Sobhi,1997/01/23,21,22,1,Stoke City,1
Egypt,A,15,DF,Mahmoud Hamdy,1995/06/01,23,0,0,Zamalek,1
Egypt,A,16,GK,Sherif Ekramy,1983/07/10,34,22,0,Al Ahly,1
Egypt,A,17,MF,Mohamed Elneny,1992/07/11,25,60,5,Arsenal,1
Egypt,A,18,FW,Shikabala,1986/03/05,32,29,2,Al-Raed,1
Egypt,A,19,MF,Abdallah Said,1985/07/13,32,35,6,KuPS,1
Egypt,A,20,DF,Saad Samir,1989/04/01,29,11,0,Al Ahly,1
Egypt,A,21,MF,Trézéguet,1994/10/01,23,23,2,Kasımpaşa,1
Egypt,A,22,FW,Amr Warda,1993/09/17,24,15,0,Atromitos,1
Egypt,A,23,GK,Mohamed El-Shenawy,1988/12/18,29,2,0,Al Ahly,1
Russia,A,1,GK,Igor Akinfeev (captain),1986/04/08,32,105,0,CSKA Moscow,1
Russia,A,2,DF,Mário Fernandes,1990/09/19,27,4,0,CSKA Moscow,1
Russia,A,3,DF,Ilya Kutepov,1993/07/29,24,6,0,Spartak Moscow,1
Russia,A,4,DF,Sergei Ignashevich,1979/07/14,38,121,8,CSKA Moscow,1
Russia,A,5,DF,Andrei Semyonov,1989/03/24,29,6,0,Akhmat Grozny,1
Russia,A,6,MF,Denis Cheryshev,1990/12/26,27,11,0,Villarreal,1
Russia,A,7,MF,Daler Kuzyayev,1993/01/15,25,5,0,Zenit Saint Petersburg,1
Russia,A,8,MF,Yury Gazinsky,1989/07/20,28,5,0,Krasnodar,1
Russia,A,9,MF,Alan Dzagoev,1990/06/17,27,56,9,CSKA Moscow,1
Russia,A,10,FW,Fyodor Smolov,1990/02/09,28,31,12,Krasnodar,1
Russia,A,11,MF,Roman Zobnin,1994/02/11,24,11,0,Spartak Moscow,1
Russia,A,12,GK,Andrey Lunyov,1991/11/13,26,3,0,Zenit Saint Petersburg,1
Russia,A,13,DF,Fyodor Kudryashov,1987/04/05,31,18,0,Rubin Kazan,1
Russia,A,14,DF,Vladimir Granat,1987/05/22,31,12,1,Rubin Kazan,1
Russia,A,15,MF,Aleksei Miranchuk,1995/10/17,22,17,4,Lokomotiv Moscow,1
Russia,A,16,MF,Anton Miranchuk,1995/10/17,22,5,0,Lokomotiv Moscow,1
Russia,A,17,MF,Aleksandr Golovin,1996/05/30,22,18,2,CSKA Moscow,1
Russia,A,18,MF,Yuri Zhirkov,1983/08/20,34,83,2,Zenit Saint Petersburg,1
Russia,A,19,MF,Aleksandr Samedov,1984/07/19,33,47,6,Spartak Moscow,1
Russia,A,20,GK,Vladimir Gabulov,1983/10/19,34,10,0,Club Brugge,1
Russia,A,21,MF,Aleksandr Yerokhin,1989/10/13,28,17,0,Zenit Saint Petersburg,1
Russia,A,22,FW,Artem Dzyuba,1988/08/22,29,23,11,Arsenal Tula,1
Russia,A,23,DF,Igor Smolnikov,1988/08/08,29,26,0,Zenit Saint Petersburg,1
Saudi Arabia,A,1,GK,Abdullah Al-Mayouf,1987/01/23,31,10,0,Al-Hilal,1
Saudi Arabia,A,2,DF,Mansoor Al-Harbi,1987/10/19,30,39,1,Al-Ahli,1
Saudi Arabia,A,3,DF,Osama Hawsawi (captain),1984/03/31,34,134,7,Al-Hilal,1
Saudi Arabia,A,4,DF,Ali Al-Bulaihi,1989/11/21,28,3,0,Al-Hilal,1
Saudi Arabia,A,5,DF,Omar Hawsawi,1985/09/27,32,41,3,Al-Nassr,1
Saudi Arabia,A,6,DF,Mohammed Al-Breik,1992/09/15,25,10,1,Al-Hilal,1
Saudi Arabia,A,7,MF,Salman Al-Faraj,1989/08/01,28,42,3,Al-Hilal,1
Saudi Arabia,A,8,MF,Yahya Al-Shehri,1990/06/26,27,56,8,Leganés,1
Saudi Arabia,A,9,MF,Hattan Bahebri,1992/07/16,25,4,0,Al-Shabab,1
Saudi Arabia,A,10,FW,Mohammad Al-Sahlawi,1987/01/10,31,39,28,Al-Nassr,1
Saudi Arabia,A,11,MF,Abdulmalek Al-Khaibri,1986/03/13,32,36,0,Al-Hilal,1
Saudi Arabia,A,12,MF,Mohamed Kanno,1994/09/22,23,6,1,Al-Hilal,1
Saudi Arabia,A,13,DF,Yasser Al-Shahrani,1992/05/25,26,36,0,Al-Hilal,1
Saudi Arabia,A,14,MF,Abdullah Otayf,1992/08/03,25,15,1,Al-Hilal,1
Saudi Arabia,A,15,MF,Abdullah Al-Khaibari,1996/08/16,21,4,0,Al-Shabab,1
Saudi Arabia,A,16,MF,Housain Al-Mogahwi,1988/03/24,30,17,1,Al-Ahli,1
Saudi Arabia,A,17,MF,Taisir Al-Jassim,1984/07/25,33,131,18,Al-Ahli,1
Saudi Arabia,A,18,MF,Salem Al-Dawsari,1991/08/19,26,32,4,Villarreal,1
Saudi Arabia,A,19,FW,Fahad Al-Muwallad,1994/09/14,23,44,10,Levante,1
Saudi Arabia,A,20,FW,Muhannad Assiri,1986/10/14,31,18,4,Al-Ahli,1
Saudi Arabia,A,21,GK,Yasser Al-Mosailem,1984/02/27,34,32,0,Al-Ahli,1
Saudi Arabia,A,22,GK,Mohammed Al-Owais,1991/10/10,26,6,0,Al-Ahli,1
Saudi Arabia,A,23,DF,Motaz Hawsawi,1992/02/17,26,17,0,Al-Ahli,1
Uruguay,A,1,GK,Fernando Muslera,1986/06/16,31,96,0,Galatasaray,1
Uruguay,A,2,DF,José Giménez,1995/01/20,23,41,4,Atlético Madrid,1
Uruguay,A,3,DF,Diego Godín (captain),1986/02/16,32,115,8,Atlético Madrid,1
Uruguay,A,4,DF,Guillermo Varela,1993/03/24,25,3,0,Peñarol,1
Uruguay,A,5,MF,Carlos Sánchez,1984/12/02,33,35,1,Monterrey,1
Uruguay,A,6,MF,Rodrigo Bentancur,1997/06/25,20,6,0,Juventus,1
Uruguay,A,7,MF,Cristian Rodríguez,1985/09/30,32,104,11,Peñarol,1
Uruguay,A,8,MF,Nahitan Nández,1995/12/28,22,11,0,Boca Juniors,1
Uruguay,A,9,FW,Luis Suárez,1987/01/24,31,97,50,Barcelona,1
Uruguay,A,10,FW,Giorgian De Arrascaeta,1994/06/01,24,13,1,Cruzeiro,1
Uruguay,A,11,FW,Cristhian Stuani,1986/10/12,31,40,5,Girona,1
Uruguay,A,12,GK,Martín Campaña,1989/05/29,29,1,0,Independiente,1
Uruguay,A,13,DF,Gastón Silva,1994/03/05,24,17,0,Independiente,1
Uruguay,A,14,MF,Lucas Torreira,1996/02/11,22,2,0,Sampdoria,1
Uruguay,A,15,MF,Matías Vecino,1991/08/24,26,21,1,Inter Milan,1
Uruguay,A,16,DF,Maxi Pereira,1984/06/08,33,124,3,Porto,1
Uruguay,A,17,MF,Diego Laxalt,1993/02/07,25,5,0,Genoa,1
Uruguay,A,18,FW,Maxi Gómez,1996/08/14,21,4,0,Celta Vigo,1
Uruguay,A,19,DF,Sebastián Coates,1990/10/07,27,30,1,Sporting CP,1
Uruguay,A,20,FW,Jonathan Urretaviscaya,1990/03/19,28,4,0,Monterrey,1
Uruguay,A,21,FW,Edinson Cavani,1987/02/14,31,100,42,Paris Saint-Germain,1
Uruguay,A,22,DF,Martín Cáceres,1987/04/07,31,75,4,Lazio,1
Uruguay,A,23,GK,Martín Silva,1983/03/25,35,11,0,Vasco da Gama,1
Iran,B,1,GK,Alireza Beiranvand,1992/09/21,25,21,0,Persepolis,1
Iran,B,2,MF,Mehdi Torabi,1994/09/10,23,16,4,Saipa,1
Iran,B,3,DF,Ehsan Hajsafi,1990/02/25,28,93,6,Olympiacos,1
Iran,B,4,DF,Rouzbeh Cheshmi,1993/07/24,24,9,1,Esteghlal,1
Iran,B,5,DF,Milad Mohammadi,1993/09/29,24,18,0,Akhmat Grozny,1
Iran,B,6,MF,Saeid Ezatolahi,1996/10/01,21,25,1,Amkar Perm,1
Iran,B,7,MF,Masoud Shojaei (captain),1984/06/09,33,73,8,AEK Athens,1
Iran,B,8,DF,Morteza Pouraliganji,1992/04/19,26,26,2,Al-Sadd,1
Iran,B,9,MF,Omid Ebrahimi,1987/09/16,30,29,0,Esteghlal,1
Iran,B,10,FW,Karim Ansarifard,1990/04/03,28,63,16,Olympiacos,1
Iran,B,11,MF,Vahid Amiri,1988/04/02,30,35,1,Persepolis,1
Iran,B,12,GK,Mohammad Rashid Mazaheri,1989/05/18,29,3,0,Zob Ahan Esfahan,1
Iran,B,13,DF,Mohammad Reza Khanzadeh,1991/05/11,27,11,1,Padideh,1
Iran,B,14,FW,Saman Ghoddos,1993/09/06,24,7,1,Östersund,1
Iran,B,15,DF,Pejman Montazeri,1983/09/06,34,46,1,Esteghlal,1
Iran,B,16,FW,Reza Ghoochannejhad,1987/09/20,30,42,17,Heerenveen,1
