Away Team Goals,Away Team Name,Home Team Goals,Home Team Name,Year,home_rank,home_total_points,home_previous_points,home_rank_change,home_cur_year_avg,home_cur_year_avg_weighted,home_last_year_avg,home_last_year_avg_weighted,home_two_year_ago_avg,home_two_year_ago_weighted,home_three_year_ago_avg,home_three_year_ago_weighted,away_rank,away_total_points,away_previous_points,away_rank_change,away_cur_year_avg,away_cur_year_avg_weighted,away_last_year_avg,away_last_year_avg_weighted,away_two_year_ago_avg,away_two_year_ago_weighted,away_three_year_ago_avg,away_three_year_ago_weighted,Home Avg Goals,Away Avg Goals
0.0,Morocco,2.0,Nigeria,2000.0,76,0.0,444,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,615,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Denmark,3.0,France,2000.0,3,0.0,765,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,697,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Senegal,4.0,Tunisia,2000.0,28,0.0,596,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,0.0,440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,England,3.0,Portugal,2000.0,15,0.0,672,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,695,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Germany,1.0,England,2000.0,12,0.0,695,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Germany,3.0,Portugal,2000.0,15,0.0,672,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,Spain,3.0,Serbia,2000.0,47,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,753,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,France,1.0,Spain,2000.0,4,0.0,753,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,765,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Uruguay,1.0,Brazil,2000.0,1,0.0,839,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,533,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Portugal,2.0,France,2000.0,3,0.0,765,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,672,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,Argentina,1.0,Colombia,2000.0,24,0.0,614,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,721,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Panama,5.0,Costa Rica,2000.0,64,0.0,483,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139,0.0,214,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Egypt,0.0,Senegal,2000.0,79,0.0,440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,556,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Sweden,2.0,Belgium,2000.0,33,0.0,588,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,663,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Mexico,0.0,Panama,2000.0,139,0.0,214,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,706,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Argentina,3.0,Brazil,2000.0,1,0.0,839,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,721,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Peru,0.0,Uruguay,2000.0,47,0.0,533,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Uruguay,1.0,Colombia,2000.0,24,0.0,614,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,533,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Spain,4.0,Germany,2000.0,5,0.0,739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,753,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Sweden,2.0,Iceland,2000.0,44,0.0,536,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,663,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Croatia,0.0,Belgium,2000.0,33,0.0,588,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,713,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,England,1.0,France,2000.0,3,0.0,765,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,695,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,Denmark,1.0,Iceland,2000.0,44,0.0,536,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,697,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Russia,0.0,Switzerland,2000.0,48,0.0,531,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,643,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Panama,7.0,Mexico,2000.0,10,0.0,706,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139,0.0,214,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,Argentina,1.0,Peru,2000.0,42,0.0,538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,721,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,Korea Republic,2.0,Australia,2000.0,90,0.0,410,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,522,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Colombia,0.0,Peru,2000.0,42,0.0,538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,614,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Germany,0.0,England,2000.0,12,0.0,695,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Korea Republic,0.0,Egypt,2000.0,38,0.0,556,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,522,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,France,1.0,Morocco,2000.0,25,0.0,615,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,765,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Tunisia,0.0,Egypt,2000.0,38,0.0,556,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,596,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Mexico,0.0,Japan,2000.0,58,0.0,501,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,706,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Portugal,1.0,Belgium,2000.0,33,0.0,588,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,672,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Morocco,0.0,Tunisia,2000.0,28,0.0,596,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,615,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Senegal,1.0,Egypt,2000.0,38,0.0,556,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,0.0,440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
